AffiliationId,NormalizedName,DisplayName,Rank
56691919,christian theological seminary,Christian Theological Seminary,14625
58064216,bellevue university,Bellevue University,13140
60205797,abilene christian university,Abilene Christian University,9990
70277191,institute of technology carlow,"Institute of Technology, Carlow",12963
70865968,rhine waal university of applied sciences,Rhine-Waal University of Applied Sciences,13440
75380228,mckinsey company,McKinsey & Company,10976
82215649,federal railroad administration,Federal Railroad Administration,13676
100633361,university of massachusetts dartmouth,University of Massachusetts Dartmouth,10013
107558787,shin ansan university,Shin Ansan University,14125
107740395,sri venkateswara institute of medical sciences,Sri Venkateswara Institute of Medical Sciences,12554
115301423,hiroshima national college of maritime technology,Hiroshima National College of Maritime Technology,13973
119906906,national war college,National War College,14981
119913878,mount ida college,Mount Ida College,15296
132468318,watkins johnson company,Watkins-Johnson Company,13086
134761920,eads astrium space transportation,EADS Astrium Space Transportation,15353
135369572,pakistan meteorological department,Pakistan Meteorological Department,13286
137265193,university of chester,University of Chester,11062
138272832,devi ahilya vishwavidyalaya,Devi Ahilya Vishwavidyalaya,12325
142393192,college of staten island,College of Staten Island,10980
142947616,institute of cancer research,Institute of Cancer Research,9184
159360068,university of piura,University of Piura,12738
159885104,ecole pratique des hautes etudes,École pratique des hautes études,10383
165488957,lingnan university,Lingnan University,10758
169729158,syktyvkar state university,Syktyvkar State University,12848
173457850,narajole raj college,Narajole Raj College,14730
174110171,skr engineering college,SKR Engineering College,15618
174689663,universidad de flores,Universidad de Flores,14386
177208993,gold fields ltd,Gold Fields Ltd.,14352
184908088,korea military academy,Korea Military Academy,12903
187792471,ionian university,Ionian University,11837
194019607,university of ioannina,University of Ioannina,7961
201487725,university of atacama,University of Atacama,12267
204831749,southwestern university of finance and economics,Southwestern University of Finance and Economics,10664
209822943,ministry of agriculture food security and cooperatives,"Ministry of Agriculture, Food Security and Cooperatives",15639
214516754,pioneer natural resources,Pioneer Natural Resources,13837
253757931,sunrise communications ag,Sunrise Communications AG,17394
263512288,scientific university of the south,Scientific University of the South,12259
296476524,royal australian and new zealand college of radiologists,Royal Australian and New Zealand College of Radiologists,14938
865455464,better government association,Better Government Association,17535
871786723,mbia,MBIA,17086
876193797,vit university,VIT University,9178
900890020,university of palermo,University of Palermo,8033
916559398,kindai university,Kindai University,8393
921011042,amateur athletic union,Amateur Athletic Union,14635
922088553,mendel biotechnology inc,"Mendel Biotechnology, Inc.",12572
932542399,brain and creativity institute,Brain and Creativity Institute,16052
1280755829,peace corps,Peace Corps,13063
1288214837,united states naval research laboratory,United States Naval Research Laboratory,7405
1297473319,national portrait gallery london,"National Portrait Gallery, London",17504
1299022934,united states department of health and human services,United States Department of Health and Human Services,8841
1299170990,samarkand state university,Samarkand State University,12626
1299422453,national institute of statistics and geography,National Institute of Statistics and Geography,12223
1308309334,translational research institute,Translational Research Institute,10858
1319399744,secretariat of the pacific community,Secretariat of the Pacific Community,10403
1330347796,united states department of defense,United States Department of Defense,12152
1332948034,cbs laboratories,CBS Laboratories,13291
2799360765,thomas jefferson university hospital,Thomas Jefferson University Hospital,9528
2799858192,london school of business and management,London School of Business and Management,14153
2800116692,mississippi museum of natural science,Mississippi Museum of Natural Science,15602
2800139495,science for life laboratory,Science for Life Laboratory,9669
2800257984,assiniboine community college,Assiniboine Community College,16246
2800378187,inha university in tashkent,Inha University in Tashkent,15690
2800415795,almas hospital,Almas Hospital,17847
2800425962,cpb netherlands bureau for economic policy analysis,CPB Netherlands Bureau for Economic Policy Analysis,12503
2800447973,university of french guiana,University of French Guiana,15722
2800638548,kern medical center,Kern Medical Center,13006
2800648773,migraine trust,Migraine Trust,16835
2800650105,donbass state pedagogical university,Donbass State Pedagogical University,15176
2800663845,bigelow laboratory for ocean sciences,Bigelow Laboratory For Ocean Sciences,10721
2800805412,catholic university college of bruges ostend,Catholic University College of Bruges–Ostend,15706
2801123574,art academy of cincinnati,Art Academy of Cincinnati,18625
2801155882,bluegrass community and technical college,Bluegrass Community and Technical College,15516
2801204984,youngnam theological university and seminary,Youngnam Theological University and Seminary,19175
2801246515,pih health hospital,PIH Health Hospital,16555
2801551205,the ohio state university at marion,The Ohio State University at Marion,15303
2801965753,united states global change research program,United States Global Change Research Program,16972
2802135278,desert botanical garden,Desert Botanical Garden,13668
2802206110,jewish museum,Jewish Museum,16010
2802249273,mallow general hospital,Mallow General Hospital,15174
2802249761,catholic distance university,Catholic Distance University,19473
2802265490,imagine optic france,Imagine Optic (France),16277
2802853663,odyssey house,Odyssey House,14869
2802987467,harlem hospital center,Harlem Hospital Center,11514
3017480383,southwest medical university,Southwest Medical University,14023
3017594750,micalis institute,Micalis Institute,12964
3024757219,chilton medical center,Chilton Medical Center,18073
746868,alice lloyd college,Alice Lloyd College,16679
6090238,iwate prefectural university,Iwate Prefectural University,11366
10595761,american college of radiology,American College of Radiology,11048
10902133,james i university,James I University,9443
11019714,university of a coruna,University of A Coruña,10003
13399601,andover newton theological school,Andover Newton Theological School,14000
17170469,solvay,Solvay,9802
24715933,university of la reunion,University of La Réunion,10365
26402615,raghu engineering college,Raghu Engineering College,14456
27963644,hhl leipzig graduate school of management,HHL Leipzig Graduate School of Management,12793
28304128,alcoa,Alcoa,9818
29739308,guangxi normal university,Guangxi Normal University,9775
31637741,inner mongolia university of science and technology,Inner Mongolia University of Science and Technology,10821
33003672,indian institute of management indore,Indian Institute of Management Indore,12506
33162209,islamic azad university of lahijan,Islamic Azad University of Lahijan,14968
34771391,university of cyprus,University of Cyprus,8186
41458283,federal university of tocantins,Federal University of Tocantins,10563
47807185,saigon university,Saigon University,13791
55862774,west bengal state university,West Bengal State University,12597
68376335,rajiv gandhi college of veterinary and animal sciences,Rajiv Gandhi College of Veterinary and Animal Sciences,15464
70745867,kla tencor,KLA-Tencor,10662
76214153,lanzhou university,Lanzhou University,8118
79238269,university of seville,University of Seville,8065
88580380,la poste,La Poste,13271
88713005,fachhochschule flensburg,Fachhochschule Flensburg,12491
89470330,merial,Merial,11568
90329211,ulyanovsk state technical university,Ulyanovsk State Technical University,13024
98251732,mcmaster university,McMaster University,6569
99490713,stetson university,Stetson University,11703
112429257,kokugakuin tochigi junior college,Kokugakuin Tochigi Junior College,15683
115570527,dublin institute of technology,Dublin Institute of Technology,9930
120378409,chelyabinsk state pedagogical university,Chelyabinsk State Pedagogical University,14250
122754167,medigene,MediGene,13271
126520041,university of science and technology of china,University of Science and Technology of China,7013
126688049,the dartmouth institute for health policy and clinical practice,The Dartmouth Institute for Health Policy and Clinical Practice,11113
137459256,hyogo college of medicine,Hyogo College of Medicine,9234
137674396,rk university,RK University,13746
145294602,wessex water,Wessex Water,13741
145581781,chongqing technology and business university,Chongqing Technology and Business University,10543
145824119,ipca laboratories ltd,Ipca Laboratories Ltd.,13376
146592066,westinghouse astronuclear laboratory,Westinghouse Astronuclear Laboratory,14458
152195623,misurata university,Misurata University,13909
152333473,ecolab,Ecolab,10737
152812213,pennsylvania transportation institute,Pennsylvania Transportation Institute,13749
153515283,european central bank,European Central Bank,10017
160986391,los angeles valley college,Los Angeles Valley College,14714
162999068,touro college of osteopathic medicine,Touro College of Osteopathic Medicine,13385
164946172,hengshui university,Hengshui University,12456
166722992,university of massachusetts medical school,University of Massachusetts Medical School,7419
168995470,tellus institute,Tellus Institute,13938
169541294,flinders university,Flinders University,7964
170833651,dr b c roy engineering college durgapur,"Dr. B.C. Roy Engineering College, Durgapur",12816
174154184,lee university,Lee University,13750
178117548,globalsantafe corporation,GlobalSantaFe Corporation,16013
189532585,japan institute for labour policy and training,Japan Institute for Labour Policy and Training,15087
194059303,weyerhaeuser,Weyerhaeuser,11027
196905989,ramtron international,Ramtron International,12284
197639755,st thomas aquinas college,St. Thomas Aquinas College,14543
203854029,central luzon state university,Central Luzon State University,13090
205885097,symbol technologies,Symbol Technologies,10301
206926436,national league for nursing,National League for Nursing,12512
212038754,siliconware precision industries company ltd,"Siliconware Precision Industries Company, Ltd.",11601
217913027,flamel technologies,Flamel Technologies,13670
224382143,the explorers club,The Explorers Club,16938
249221365,kwangju health college,Kwangju Health College,14251
875293437,riu hotels,RIU Hotels,18773
877506347,abertay university,Abertay University,10802
900338111,alagappa government arts college,Alagappa Government Arts College,14038
1280640908,the nature conservancy,The Nature Conservancy,9801
1286141780,library and archives canada,Library and Archives Canada,14767
1295121038,leeds general infirmary,Leeds General Infirmary,9643
1295960279,jasco applied sciences,JASCO Applied Sciences,14280
1296611117,indian grassland and fodder research institute,Indian Grassland and Fodder Research Institute,13187
1301400270,michigan molecular institute,Michigan Molecular Institute,12449
1305322584,queensland environmental protection agency,Queensland Environmental Protection Agency,14143
1308928477,equal opportunities commission,Equal Opportunities Commission,16457
1312504184,genomatix,Genomatix,12990
1314135232,nationwide children s hospital,Nationwide Children's Hospital,9146
1316424625,minaret of freedom institute,Minaret of Freedom Institute,18337
1317897188,children s institute inc,Children's Institute Inc.,15954
1321659569,european space operations centre,European Space Operations Centre,12483
1322859765,guidewire software,Guidewire Software,15465
1327930874,apollo hospitals,Apollo Hospitals,10784
1336939341,kaiser family foundation,Kaiser Family Foundation,12376
1342842691,sons of the american revolution,Sons of the American Revolution,16742
2799665334,royal college of ophthalmologists,Royal College of Ophthalmologists,13628
2799709066,bangladesh academy of sciences,Bangladesh Academy of Sciences,16807
2799887075,calderdale royal hospital,Calderdale Royal Hospital,13082
2800068374,rocky mountain college of art and design,Rocky Mountain College of Art and Design,18000
2800085125,mornington peninsula shire,Mornington Peninsula Shire,17045
2800096870,staatliche akademie der bildenden kunste stuttgart,Staatliche Akademie der Bildenden Künste Stuttgart,16080
2800271471,society for endocrinology,Society for Endocrinology,15540
2800447175,arizona historical society,Arizona Historical Society,16870
2800649613,university of missouri health system,University of Missouri Health System,14617
2800713431,saint vincent hospital,Saint Vincent Hospital,11986
2800878267,american heart institute,American Heart Institute,14859
2801038763,henry cogswell college,Henry Cogswell College,17873
2801087145,coventry city council,Coventry City Council,15962
2801092184,central water and power research station,Central Water and Power Research Station,13515
2801168572,washington state department of early learning,Washington State Department of Early Learning,17713
2801225050,bronglais general hospital,Bronglais General Hospital,14350
2801260349,gateway community and technical college,Gateway Community and Technical College,17207
2801322200,beebe healthcare,Beebe Healthcare,16817
2801418629,new york state office of parks recreation and historic preservation,"New York State Office of Parks, Recreation and Historic Preservation",17195
2801737446,supreme council of antiquities,Supreme Council of Antiquities,15497
2801750073,centenary college of new jersey,Centenary College of New Jersey,18746
2801803865,tanana chiefs conference,Tanana Chiefs Conference,15417
2801979358,wesley biblical seminary,Wesley Biblical Seminary,18375
2801983610,digital public library of america,Digital Public Library of America,17176
2802043524,university of somalia,University of Somalia,15359
2802052008,bethany university,Bethany University,18744
2802126911,von roll switzerland,Von Roll (Switzerland),16506
2802217488,north carolina department of agriculture and consumer services,North Carolina Department of Agriculture and Consumer Services,13359
2802250515,anti corruption and civil rights commission,Anti Corruption and Civil Rights Commission,17658
2802367119,tenri hospital,Tenri Hospital,11095
2802466663,state museum of natural history karlsruhe,State Museum of Natural History Karlsruhe,14602
2802662215,tinker air force base,Tinker Air Force Base,14711
2802710900,czech olympic committee,Czech Olympic Committee,17529
2802723752,derriford hospital,Derriford Hospital,10359
2802862141,north okkalapa general hospital,North Okkalapa General Hospital,16165
2802865615,pennsylvania coalition against rape,Pennsylvania Coalition Against Rape,19027
2802999702,regional municipality of niagara,Regional Municipality of Niagara,17132
2803035111,fundamental research on matter institute for atomic and molecular physics,Fundamental Research on Matter Institute for Atomic and Molecular Physics,13895
2803051454,jack miller center,Jack Miller Center,18289
2945732944,lyft,Lyft,13685
443798,national defense academy of japan,National Defense Academy of Japan,12036
8764889,university of gondar,University of Gondar,9828
11193315,instituto superior de contabilidade e administracao do porto,Instituto Superior de Contabilidade e Administracao do Porto,14631
16103854,remote sensing center,Remote Sensing Center,10984
33523713,civil aeronautics administration,Civil Aeronautics Administration,15168
35637935,tallahassee community college,Tallahassee Community College,14966
