JournalId,NormalizedName,Reason,Issn,num_journal_publication,num_journal_author,num_journal_affiliation,journal_year_first_publish,journal_avg_hindex,journal_avg_first_author_hindex,journal_avg_last_author_hindex,journal_avg_middle_author_hindex,total_num_journal_reference,total_num_journal_cited,journal_paper_reference_num,journal_paper_cited_num,journal_journal_reference_num,journal_journal_cited_num,journal_num_author_referenced,journal_num_author_cited,journal_num_affiliation_referenced,journal_num_affiliation_cited,journal_num_journal_self_reference,journal_num_author_self_reference,journal_num_affiliation_self_reference,journal_num_journal_self_cited,journal_num_author_self_cited,journal_num_affiliation_self_cited
2764662563,research in cardiovascular medicine,Suspected editorial misconduct by publisher,2251-9580,321,726,726,2012,6.07453734168935,5.324894514767933,5.931464174454828,4.002155469628874,3894,1008,3723,968,982,510,18543,5083,1364,849,26,59,48,25,56,62
2737944971,revista fuentes,Journal not adhering to best practice,1575-7072,604,652,652,1998,2.885917312661499,2.916376306620209,1.5033112582781456,1.6135976702508958,4204,955,4006,874,947,188,8184,2025,1127,192,41,67,63,44,44,64
2737394953,revista pesquisa em fisioterapia,Journal not adhering to Best practice,2238-2704,545,762,762,2012,4.680811287477953,4.158730158730159,3.326605504587156,1.761806012727672,2274,161,2208,151,842,47,9484,742,1137,96,0,21,22,0,10,5
2737859358,social transformations in contemporary society,Journal not adhering to Best practice,2345-0126,20,12,12,2013,0.0,0.0,0.0,0.0,146,31,146,31,82,21,276,64,101,23,0,0,0,0,0,0
151304531,sophia,Journal not adhering to Best practice,1794-8932,2227,926,926,1952,3.4981990831696135,3.542887029288703,1.5397395599461159,0.8648148148148149,12087,2322,9939,1797,1121,394,10267,2294,1009,608,197,212,138,232,139,116
2764864708,sudan journal of medical sciences,Journal not adhering to Best practice,1858-5051,638,807,807,2006,4.493650793650795,3.0225563909774436,1.4796238244514106,0.8340418141677135,3548,554,3504,523,1413,288,15499,2288,1519,413,9,21,14,10,15,1
2764684238,taiwan journal of linguistics,Journal not adhering to Best practice,1729-4649,194,151,151,2003,3.251302083333333,2.7037037037037037,0.845360824742268,2.088888888888889,2712,455,2198,420,240,117,2429,583,394,197,12,25,0,13,21,1
2739085263,telematika,Journal not adhering to Best practice,2460-9021,367,100,100,2008,2.3335443037974684,2.1875,0.6457765667574932,1.5077519379844961,321,115,268,114,52,14,477,320,87,28,1,3,1,1,8,0
2737147965,theoretical and applied economics,Suspected editorial misconduct by publisher,2409-8647,2355,1008,1008,2005,2.2738993710691817,2.376201923076923,0.6942675159235668,1.1394335511982572,9508,3087,8264,2895,1377,755,11729,5512,1546,1042,89,98,10,90,147,11
2739118867,universidad y empresa,Journal not adhering to Best practice,0124-4639,56,48,48,1999,2.213333333333333,2.0,0.7857142857142857,1.375,483,103,476,99,175,23,826,231,227,51,0,4,3,0,4,5
2739469240,academia anatomica international,Suspected editorial misconduct by publisher,2455-5274,144,52,52,2015,4.2192592592592595,3.5208333333333335,2.5069444444444446,1.271716378859236,170,22,169,22,106,15,623,89,142,19,0,1,0,0,3,1
2764678689,accounting and finance research,Suspected editorial misconduct by publisher,1927-5986,554,837,837,2000,4.434007707129095,4.446969696969697,2.1101083032490973,2.2774261603375527,8361,1236,7051,1198,1054,394,10449,2573,1496,647,14,58,39,13,35,15
81029994,acrocephalus,Journal not adhering to Best practice,2199-6067,143,198,198,1992,3.2771258503401364,3.4074074074074074,2.0489510489510487,2.065079365079365,1378,294,1102,189,207,70,2665,681,395,153,44,41,9,44,41,6
86406033,acta adriatica,Journal not adhering to Best practice,0001-5113,271,236,236,1961,5.6039894179894185,5.084656084656085,4.634686346863469,4.7760092079057594,1912,1750,1702,1534,332,379,3810,4644,484,666,22,59,14,25,104,23
205684615,acta medica okayama,Journal not adhering to Best Practice,0386-300X,3192,4207,4207,1952,7.092701380091512,4.25731584258325,10.084273182957393,4.999768968386083,22637,19539,20767,18396,2905,4341,83331,75914,2696,3531,272,562,357,268,843,526
87096862,acta neurobiologiae experimentalis,Journal not adhering to Best Practice,0065-1400,6318,3698,3698,1970,8.880205488891924,6.440677966101695,7.134219689775246,4.36596309324113,54096,28472,44753,23864,3040,3130,119275,73187,3473,3622,734,823,654,805,989,783
64820383,acta paulista de enfermagem,Journal not adhering to Best practice,0103-2100,3712,4189,4189,1988,4.821641351315963,3.4107946026986506,4.5422952586206895,3.4393862195723908,31500,19471,21898,14732,2870,1215,68053,38982,3373,1475,1034,867,1086,878,833,961
160800360,acta polytechnica hungarica,Journal not adhering to Best Practice,1785-8860,389,583,583,2004,8.694734997512775,6.722408026755853,8.555269922879177,6.815347264081441,3680,2496,3450,2212,1021,385,7980,4332,1386,795,42,131,57,38,122,76
176982244,acta protozoologica,Journal not adhering to Best Practice,0065-1583,1627,1043,1043,1901,7.812505930424022,7.043041606886657,4.505838967424708,3.5991519895629485,13650,12704,9195,8100,1245,1285,18067,17673,1549,2062,291,373,233,350,519,397
149074594,acta veterinaria brno,Journal not adhering to Best practice,0001-7213,2873,5562,5562,1969,3.913144878226655,3.1335689045936395,2.900800556909154,2.333315710923213,30581,14730,26620,12746,3092,1981,79735,45544,2879,2555,581,677,417,604,702,414
2736685998,administrative issues journal,Journal not adhering to Best Practice,2153-7615,240,339,339,2011,3.4029126213592233,2.7746478873239435,1.0875,2.0173160173160176,3325,626,3068,620,903,212,5476,1235,848,365,4,23,0,4,9,0
2764650763,advance journal of food science and technology,Suspected editorial misconduct by publisher,2042-4868,1747,2849,2849,2009,2.9215975011155733,2.136222910216718,0.7315397824842588,0.7797847985347984,12427,3489,11289,3354,2595,1014,33338,12507,2598,1567,111,77,2,112,84,2
2764656264,advanced studies in theoretical physics,Journal not adhering to Best Practice,1313-1311,561,428,428,2007,5.80822566752799,5.925816023738872,3.4545454545454546,4.896595528455285,2845,951,2268,816,527,221,9998,1137,915,300,75,138,17,67,125,19
2764842411,advances in animal and veterinary sciences,Suspected editorial misconduct by publisher,2307-8316,1101,411,411,2013,4.9726377912320965,4.326642335766423,3.44141689373297,2.7496483184627505,3535,1889,3383,1781,1023,630,12608,8366,1221,1128,6,41,0,8,138,1
2764468471,advances in biological chemistry,Suspected editorial misconduct by publisher, 2162-2183,292,855,855,2011,10.14319455054749,7.079787234042553,10.404109589041095,5.714833763318611,9136,1108,8310,1075,1978,589,30696,4755,2161,946,22,150,72,23,81,33
183861833,advances in bioscience and biotechnology,Suspected editorial misconduct by publisher, 2156-8456,918,3157,3157,2010,7.9569092712842675,5.65377532228361,8.008714596949892,4.576174737571799,27031,5323,25590,5124,4187,1835,98006,21888,3887,2517,61,439,202,57,283,117
2738231229,advances in bioscience and clinical medicine,Journal not adhering to Best practice,2203-1413,309,326,326,2013,4.83157185265964,4.52020202020202,3.0647249190938513,2.778487035839977,1380,120,1357,117,728,90,5584,638,800,196,2,15,14,3,8,8
2764951932,advances in chemical engineering and science,Suspected editorial misconduct by publisher, 2160-0392,446,1231,1231,2011,7.135369763951427,5.097560975609756,5.95067264573991,3.7199456583980384,8301,2935,7979,2892,1628,902,23516,10656,2119,1620,18,164,61,19,109,34
2764671007,advances in clinical medicine,Suspected editorial misconduct by publisher,2161-8712,1267,413,413,2011,1.0,1.0,0.0055248618784530384,0.0,1790,153,1781,152,859,112,10462,886,989,179,0,0,0,0,0,0
2764477435,advances in education,Suspected editorial misconduct by publisher,2160-729X,793,81,81,2011,1.75,2.1666666666666665,0.011349306431273645,0.05261437908496733,151,62,148,62,91,20,342,85,121,39,0,1,0,0,1,0
