Reason,NormalizedName,journal_year_first_publish,total_num_journal_cited,num_journal_publication,total_num_journal_reference,journal_num_journal_self_cited,journal_journal_cited_num,journal_num_journal_self_reference,journal_avg_last_author_hindex,num_journal_author,journal_num_author_self_reference,journal_num_author_referenced,journal_avg_middle_author_hindex,journal_avg_first_author_hindex,journal_avg_hindex,journal_num_author_cited,journal_num_affiliation_cited,num_journal_affiliation,journal_num_affiliation_referenced
Still in DOAJ index,3c tic,2012,0.47,200,0.45,0.0,0.14,0.0,0.645,0.295,0.015,1.225,0.6174242424242424,2.423076923076923,2.4815040650406504,1.245,0.265,0.295,0.2
Still in DOAJ index,aace clinical case reports,2014,0.9264931087289433,653,14.390505359877489,0.06278713629402756,0.42879019908116384,0.07044410413476264,12.782542113323125,3.76416539050536,0.13476263399693722,59.70750382848392,6.743214237713364,4.981981981981982,10.62995412367272,4.303215926493109,0.8560490045941807,3.76416539050536,2.9494640122511484
Still in DOAJ index,aaps open,2015,5.970588235294118,34,22.88235294117647,0.08823529411764706,2.764705882352941,0.08823529411764706,7.794117647058823,4.647058823529412,0.4411764705882353,88.8529411764706,7.119501100751101,6.0,9.05501567398119,25.5,7.470588235294118,4.647058823529412,14.441176470588236
Still in DOAJ index,abril,2008,0.06521739130434782,46,0.2608695652173913,0.0,0.021739130434782608,0.0,0.217391304347826,0.06521739130434782,0.0,0.30434782608695654,0.3333333333333333,2.8,1.9285714285714288,0.043478260869565216,0.043478260869565216,0.06521739130434782,0.10869565217391304
Still in DOAJ index,accounting analysis journal,2012,1.351123595505618,356,1.4297752808988764,0.028089887640449437,0.18258426966292135,0.019662921348314606,0.8258426966292135,0.32865168539325845,0.0028089887640449437,1.9915730337078652,0.4137931034482758,1.3529411764705883,1.6521739130434785,2.550561797752809,0.2050561797752809,0.32865168539325845,0.3960674157303371
Still in DOAJ index,acg case reports journal,2013,1.7565424266455194,1261,8.784298176050754,0.03013481363996828,0.5804916732751785,0.03013481363996828,10.639968279143536,3.328310864393339,0.06819984139571768,37.778747026169704,6.071999306042601,3.515021459227468,8.993855706874403,8.14670896114195,0.9429024583663759,3.328310864393339,1.6574147501982555
Still in DOAJ index,acta agriculturae serbica,2000,1.1440217391304348,368,7.483695652173913,0.11141304347826086,0.483695652173913,0.10326086956521739,1.1005434782608696,1.638586956521739,0.17119565217391305,22.339673913043477,1.5297924297924297,3.0694444444444446,3.103585221967576,3.910326086956522,0.5706521739130435,1.638586956521739,2.5625
Still in DOAJ index,acta angiologica,2001,1.051094890510949,411,10.841849148418492,0.024330900243309004,0.5669099756690997,0.024330900243309004,4.656934306569343,1.6739659367396593,0.11678832116788321,42.74695863746959,2.8485432111747917,3.675555555555556,5.165904774699683,4.9367396593673964,0.9099756690997567,1.6739659367396593,2.6350364963503647
Still in DOAJ index,acta bioethica,2000,1.6179084073820915,1463,3.5598086124401913,0.0786056049213944,0.3438140806561859,0.06493506493506493,3.040328092959672,0.430622009569378,0.05263157894736842,7.9029391660970605,2.5776528512639625,5.015810276679842,5.358170685036355,3.308270676691729,0.49077238550922764,0.430622009569378,0.8626110731373889
Still in DOAJ index,acta biologica sibirica,2013,0.36992840095465396,419,2.9618138424821003,0.06205250596658711,0.11694510739856802,0.06205250596658711,0.9785202863961814,0.7374701670644391,0.0883054892601432,7.470167064439141,1.0070490620490622,4.111111111111111,4.446177370030581,1.2887828162291168,0.21479713603818615,0.7374701670644391,1.3890214797136038
