Journal_Title_Normalized,added,Journal Title,ISSN,Remove_Date,Add_Date,Reason,Data Source,URL,reason_category
constructions,False,Constructions,1860-2010,2017-01-18,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
contemporary educational technology,False,Contemporary Educational Technology,1309-517X,2016-01-22,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
contemporary engineering sciences,False,Contemporary Engineering Sciences,1313-6569,2015-04-02,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
contemporary issues in technology and teacher education,False,Contemporary Issues in Technology and Teacher Education,1528-5804,2017-06-24,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
contexto (porto alegre),False,ConTexto (Porto Alegre),1676-6016,2017-02-21,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
contribuciones a las ciencias sociales,False,Contribuciones a las Ciencias Sociales,1988-7833,2016-08-16,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
copas : current objectives of postgraduate american studies,False,COPAS : Current Objectives of Postgraduate American Studies,1861-6127,2017-05-23,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
core evidence,False,Core Evidence,1555-175X,2017-05-09,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
"corporate board: role, duties & composition",False,"Corporate Board: Role, Duties & Composition",1810-8601,2018-10-10,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
counsellia: jurnal bimbingan dan konseling,False,Counsellia: Jurnal Bimbingan dan Konseling,2477-5886,2021-11-09,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
creative education,False,Creative Education," 2151-4755, 2151-4771",2015-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
critica educativa,False,Critica Educativa,2447-4223,2021-09-16,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
critical education,False,Critical Education,1920-4175,2017-02-20,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
croatian international relations review,False,Croatian International Relations Review,1848-5782,2022-04-26,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
cross-cultural communication,False,Cross-Cultural Communication,1712-8358,2016-01-05,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
crítica. revista hispanoamericana de filosofía,False,Crítica. Revista Hispanoamericana de Filosofía,0011-1503,2020-04-16,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
csrid journal,False,CSRID Journal,2460-870X,2022-03-04,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
cuadernos de bioã©tica,False,Cuadernos de BioÃ©tica,1132-1989,2017-06-08,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
cuadernos de derecho transnacional,False,Cuadernos de Derecho Transnacional,1989-4570,2017-06-30,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
cuadernos de medicina forense,False,Cuadernos de Medicina Forense,1135-7606,2017-01-06,1677-09-22,no OA statement,DOAJ,,interesting reason
cuadernos de vivienda y urbanismo,False,Cuadernos de Vivienda y Urbanismo,2027-2103,2015-12-22,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
cuadernos del instituto antonio de nebrija de estudios sobre la universidad,False,Cuadernos del Instituto Antonio de Nebrija de Estudios sobre la Universidad,1139-6628,2017-04-20,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
cultivos tropicales,False,Cultivos Tropicales,1819-4087,2016-11-08,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
cultura,False,Cultura,1817-0285,2015-11-12,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
cultural anthropology and ethnosemiotics,False,Cultural Anthropology and Ethnosemiotics,2411-6459,2021-06-22,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
culture - history - globalization,False,Culture - History - Globalization,1898-7265,2017-05-16,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
culture machine,False,Culture Machine,1465-4121,2017-01-24,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
cumhuriyet international journal of education,False,Cumhuriyet International Journal of Education,2147-1606,2017-06-20,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
cumhuriyet medical journal,False,Cumhuriyet Medical Journal,1305-0028,2017-05-31,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
cumhuriyet science journal,False,Cumhuriyet Science Journal,2587-2680,2021-08-26,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
cureus,False,Cureus,2168-8184,2020-03-17,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
current biomarker findings,False,Current Biomarker Findings,2230-2492,2017-05-09,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
current botany,False,Current Botany,2220-4822,2019-08-12,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
current research in bacteriology,False,Current Research in Bacteriology,1994-5426,2015-02-28,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
current research journal of biological sciences,False,Current Research Journal of Biological Sciences,2041-076X,2016-10-14,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
current research journal of economic theory,False,Current Research Journal of Economic Theory,2042-4841,2016-10-14,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
current research journal of social science,False,Current Research Journal of Social Science,2041-3238,2016-10-14,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
current trends in technology and sciences,False,Current Trends in Technology and Sciences,2279-0535,2017-06-12,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
cypriot journal of educational sciences,False,Cypriot Journal of Educational Sciences,1305-9076,2020-04-27,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
cytojournal,False,Cytojournal,1742-6413,2020-07-09,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
"czech journal of social sciences, business and economics",False,"Czech Journal of Social Sciences, Business and Economics",1805-6830,2016-03-27,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
czytanie literatury. (łódzkie studia literaturoznawcze),False,Czytanie Literatury. (Łódzkie Studia Literaturoznawcze),2449-8386,2016-10-11,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
d-lib magazine,False,D-Lib Magazine,1082-9873,2016-12-19,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
dalhousie journal of interdisciplinary management,False,Dalhousie Journal of Interdisciplinary Management,1923-6530,2017-01-24,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
danube,False,Danube,1804-8285,2022-04-14,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
database systems journal,False,Database Systems Journal,2069-3230,2021-08-18,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
de jure: jurnal hukum dan syari'ah,False,De Jure: Jurnal Hukum dan Syari'ah,2085-1618,2018-10-01,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
dearq : journal of architecture,False,DEARQ : Journal of Architecture,2215-969X,2016-12-20,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
"decolonization : indigeneity, education & society",False,"Decolonization : Indigeneity, Education & Society",1929-8692,2017-02-20,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
degenerative neurological and neuromuscular disease,False,Degenerative Neurological and Neuromuscular Disease,1179-9900,2017-05-09,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
dejiny,False,Dejiny,1337-0707,2017-02-22,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
"demetra: alimentação, nutrição & saúde",False,"DEMETRA: Alimentação, Nutrição & Saúde",2238-913X,2020-08-25,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
dendrobiology,False,Dendrobiology,1641-1307,2017-07-12,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
denkströme: journal der sächsischen akademie der wissenschaften,False,Denkströme: Journal der Sächsischen Akademie der Wissenschaften,1867-7061,2016-11-20,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
derecho y ciencias sociales,False,Derecho y Ciencias Sociales,1853-0982,2020-09-07,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
dermatology and cosmetic,False,Dermatology and Cosmetic,2008-7470,2015-11-10,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
desarrollo local sostenible,False,Desarrollo Local Sostenible,1988-5245 ,2020-04-10,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
desenvolve: revista de gestão do unilasalle,False,Desenvolve: Revista de Gestão do Unilasalle,2316-5537,2020-05-09,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
design and technology education: an international journal,False,Design and Technology Education: An International Journal,1360-1431,2017-06-24,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
developing country studies,False,Developing Country Studies,2225-0565,2017-10-17,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
diaeta,False,Diaeta,0328-1310,2017-04-27,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
"dialogues in philosophy, mental and neuro sciences",False,"Dialogues in Philosophy, Mental and Neuro Sciences",2035-0031,2017-10-17,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
digital education review,False,Digital Education Review,2013-9144,2021-09-13,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
digital journal of ophthalmology,False,Digital Journal of Ophthalmology,1542-8958,2017-06-24,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
digital medicine,False,Digital Medicine,2542-629X,2017-12-13,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
dil eğitimi ve araştırmaları dergisi,False,Dil Eğitimi ve Araştırmaları Dergisi,2149-5602,2021-12-07,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
dilemata,False,Dilemata,1989-7022,2016-09-22,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
dilemata : revista internacional de éticas aplicadas,False,DILEMATA : Revista Internacional de Éticas Aplicadas,1989-7022,2016-09-22,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
direito público,False,Direito Público,1806-8200,2017-04-11,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
disiplinlerarası akademik turizm dergisi,False,Disiplinlerarası Akademik Turizm Dergisi,2548-0847,2019-01-24,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
dissertationes forestales,False,Dissertationes Forestales,2323-9220,2017-08-04,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
dokuz eylül üniversitesi denizcilik fakültesi dergisi,False,Dokuz Eylül Üniversitesi Denizcilik Fakültesi Dergisi,1309-4246,2018-11-15,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
dominio de las ciencias,False,Dominio de las Ciencias,2477-8818,2019-10-14,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
doğuş üniversitesi dergisi,False,Doğuş Üniversitesi Dergisi,1302-6739,2022-01-26,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
dpa: documentos de proyectos de arquitectura,False,DPA: Documentos de Proyectos de Arquitectura,1577-0265,2020-10-09,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
drug development and therapeutics,False,Drug Development and Therapeutics,2394-2002,2021-05-03,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
dugesiana,False,Dugesiana,1028-3420,2017-01-23,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
dynamis : acta hispanica ad medicinae scientiarumque historiam illustrandam,False,Dynamis : Acta Hispanica ad Medicinae Scientiarumque Historiam Illustrandam,0211-9536,2017-07-03,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
düzce üniversitesi sağlık bilimleri enstitüsü dergisi,False,Düzce Üniversitesi Sağlık Bilimleri Enstitüsü Dergisi,2519-2442,2022-01-26,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
e&g : quaternary science journal,False,E&G : Quaternary Science Journal,0424-7116,2017-05-23,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
e-beratungsjournal,False,E-Beratungsjournal,1816-7632,2017-04-03,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
e-finanse,False,e-Finanse,1734-039X,2021-07-22,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
e-international journal of educational research,False,e-International Journal of Educational Research,1309-6265﻿,2017-04-25,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
e-journal ilmu dan teknologi kelautan tropis,False,E-Journal Ilmu dan Teknologi Kelautan Tropis,2085-6695,2020-09-07,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
e-journal of business education & scholarship of teaching,False,e-Journal of Business Education & Scholarship of Teaching,1835-9132,2017-01-24,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
e-journal of international and comparative labour studies,False,E-Journal of International and Comparative Labour Studies,2280-4056,2016-03-18,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
e-journal of portuguese history,False,e-journal of Portuguese History,1645-6432,2016-11-03,1677-09-22,No licence nor OA statement,DOAJ,,interesting reason
e-journal philosophie der psychologie,False,E-Journal Philosophie der Psychologie,1813-7784,2017-04-03,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
e-jurnal akuntansi,False,E-Jurnal Akuntansi,2302-8556,2022-02-03,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
e.i.a.l. : estudios interdisciplinarios de america latina y el caribe,False,E.I.A.L. : Estudios Interdisciplinarios de America Latina y el Caribe,0792-7061,2015-12-21,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
early modern literary studies,False,Early Modern Literary Studies,1201-2459,2017-02-20,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
earth science research,False,Earth Science Research,"1927-0542, 1927-0550",2015-09-11,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
ecodemica,False,Ecodemica,2355-0295,2019-11-01,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
ecoforum,False,Ecoforum,1584-9066,2020-11-18,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
ecologia balkanica,False,Ecologia Balkanica,1314-0213,2021-11-08,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
econ journal watch,False,Econ Journal Watch,1933-527X,2016-12-08,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
economy transdisciplinarity cognition,False,Economy Transdisciplinarity Cognition,2067-5046,2017-07-18,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
edma 0-6 : educación matemática en la infancia,False,Edma 0-6 : Educación Matemática en la Infancia,2254-8351,2017-07-18,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
educación y territorio,False,Educación y Territorio,2256-3989,2017-07-18,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
education sciences and psychology,False,Education Sciences and Psychology,1512-1801,2020-04-13,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
educational management,False,Educational Management,2252-7001,2022-02-24,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
educação e pesquisa,False,Educação e Pesquisa,1678-4634,2022-04-27,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
"educação, formação & tecnologias",False,"Educação, Formação & Tecnologias",1646-933X,2016-10-10,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
eduhumaniora,False,EduHumaniora,2085-1243,2018-09-19,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
edunomia,False,Edunomia,2746-5578,2022-04-26,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
egyptian journal of hospital medicine,False,Egyptian Journal of Hospital Medicine,2090-7125,2016-11-09,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
ejournal of education policy,False,eJournal of Education Policy,2158-9232,2021-07-16,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
ejovoc : electronic journal of vocational colleges,False,EJOVOC : Electronic Journal of Vocational Colleges,2146-7684,2017-06-20,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
ekonomska revija (tuzla),False,Ekonomska Revija (Tuzla),1512-8962,2016-12-25,1677-09-22,no OA statement  no licence,DOAJ,,interesting reason
ekonomski pregled,False,Ekonomski Pregled,0424-7558,2017-01-21,1677-09-22,no licence,DOAJ,,interesting reason
electronic book review,False,Electronic Book Review,1553-1139,2017-09-11,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
electronic international journal of time use research,False,Electronic International Journal of Time Use Research,1860-9937,2017-05-23,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
electronic journal of biology,False,Electronic Journal of Biology,1860-3122,2016-12-30,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
electronic journal of business ethics and organization studies,False,Electronic Journal of Business Ethics and Organization Studies,1239-2685,2017-06-24,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
electronic journal of business research methods,False,Electronic Journal of Business Research Methods,1477-7029,2022-01-13,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
electronic journal of contemporary japanese studies,False,Electronic Journal of Contemporary Japanese Studies,1476-9158,2017-05-16,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
electronic journal of e-learning,False,Electronic Journal of e-Learning,1479-4403,2021-12-02,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
electronic journal of health informatics,False,Electronic Journal of Health Informatics,1446-4381,2017-09-11,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
electronic journal of knowledge management,False,Electronic Journal of Knowledge Management,1479-4411,2021-12-02,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
electronic journal of research in educational psychology,False,Electronic Journal of Research in Educational Psychology,1696-2095,2016-10-17,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
electronic journal of vedic studies,False,Electronic Journal of Vedic Studies,1084-7561,2016-09-27,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
elkawnie: journal of islamic science and technology,False,Elkawnie: Journal of Islamic Science and Technology,2460-8920,2020-11-17,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
empirische sonderpädagogik,False,Empirische Sonderpädagogik,1869-4845,2017-04-03,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
en access journal of forensic psychology,False,en Access Journal of Forensic Psychology,1948-5115,2017-01-03,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
en blanco y negro,False,En Blanco y Negro,2221-8874,2016-09-22,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
encuentro : revista de investigación e innovación en la clase de idiomas,False,Encuentro : Revista de Investigación e Innovación en la Clase de Idiomas,1989-0796,2016-10-25,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
energy and environment research,False,Energy and Environment Research,"1927-0569, 1927-0577",2015-09-11,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
energy and power engineering,False,Energy and Power Engineering," 1949-243X, 1947-3818",2015-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
energy science and technology,False,Energy Science and Technology,1923-8460,2015-10-23,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
engenharia ambiental: pesquisa e tecnologia,False,Engenharia Ambiental: Pesquisa e Tecnologia,1678-2178,2017-06-03,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
engineering & technology journal,False,Engineering & Technology Journal,2412-0758,2017-12-15,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
engineering journal,False,Engineering Journal,0125-8281,2018-11-15,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
engineering letters,False,Engineering Letters,1816-093X,2017-06-24,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
engineering sciences,False,Engineering Sciences,1308-7231,2019-07-17,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
english australia journal: the australian journal of english language teaching,False,English Australia Journal: the Australian Journal of English Language Teaching,2202-6169,2018-09-19,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
english for specific purposes world,False,English for Specific Purposes World,1682-3257,2016-12-18,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
english language and literature studies,False,English Language and Literature Studies,"1925-4768, 1925-4776",2015-09-11,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
english language teaching,False,English Language Teaching,"1916-4742, 1916-4750",2015-09-11,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
"enl@ce revista venezolana de información, tecnología y conocimiento",False,"Enl@ce Revista Venezolana de Información, Tecnología y Conocimiento",1690-7515,2017-05-29,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
enliven: journal of anesthesiology and critical care medicine,False,Enliven: Journal of Anesthesiology and Critical Care Medicine,2374-4448,2016-12-19,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
enseñanza e investigación en psicología,False,Enseñanza e Investigación en Psicología,0185-1594,2017-06-30,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
entelequia: revista interdisciplinar,False,Entelequia: Revista Interdisciplinar,1885-6985,2017-02-17,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
environment and natural resources research,False,Environment and Natural Resources Research,"1927-0488, 1927-0496",2015-09-11,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
environment and pollution,False,Environment and Pollution,"1927-0909, 1927-0917",2015-09-11,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
environment-behaviour proceedings journal (e-bpj),False,Environment-Behaviour Proceedings Journal (E-BPJ),2398-4287,2019-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
environmental and earth sciences research journal,False,Environmental and Earth Sciences Research Journal,2369-5668,2018-03-15,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
environmental sciences,False,Environmental Sciences,1314-765X,2015-04-02,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
environmental stresses in crop sciences,False,Environmental Stresses in Crop Sciences,2383-3084,2022-01-14,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
enviroscienteae,False,Enviroscienteae,1978-8096,2018-10-01,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
eplasty : open access journal of plastic and reconstructive surgery,False,ePlasty : Open Access Journal of Plastic and Reconstructive Surgery,1937-5719,2017-07-18,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
eras,False,Eras,1445-5218,2017-09-05,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
erciyes iletişim dergisi,False,Erciyes iletişim Dergisi,1308-3198,2021-12-21,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
ergonomics open journal,False,Ergonomics Open Journal,1875-9343,2017-03-23,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
erhvervshistorisk årbog,False,Erhvervshistorisk Årbog,0071-1152,2017-02-20,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
"escenarios, empresa y territorio",False,"Escenarios, Empresa y Territorio",2322-6331,2020-11-19,1677-09-22,Website URLs have security issues,DOAJ,,interesting reason
esci journal of plant pathology,False,ESci Journal of Plant Pathology,2306-1650,2017-05-16,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
escritas do tempo,False,Escritas do Tempo,2674-7758,2021-05-26,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
eskişehir osmangazi üniversitesi i̇lahiyat fakültesi dergisi,False,Eskişehir Osmangazi Üniversitesi İlahiyat Fakültesi Dergisi,2147-8171,2021-11-22,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
eskişehir osmangazi üniversitesi sosyal bilimler dergisi,False,Eskişehir Osmangazi Üniversitesi Sosyal Bilimler Dergisi,1302-9703,2017-10-18,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
eskişehir türk dünyası uygulama ve araştırma merkezi halk sağlığı dergisi,False,Eskişehir Türk Dünyası Uygulama ve Araştırma Merkezi Halk Sağlığı Dergisi,2564-6311,2021-01-28,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
espacios públicos,False,Espacios Públicos,1665-8140,2017-06-19,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
espaço jurídico : journal of law,False,Espaço Jurídico : Journal of Law,2179-7943,2016-08-16,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
espaço plural,False,Espaço Plural,1518-4196,2017-04-12,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
espirales: revista multidisciplinaria de investigación,False,Espirales: Revista Multidisciplinaria de Investigación,2550-6862,2021-09-24,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
estudios constitucionales,False,Estudios Constitucionales,0718-0195,2017-02-22,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
estudios de lingüística española,False,Estudios de Lingüística Española,1139-8736,2016-09-22,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
estudios sobre las culturas contemporaneas,False,Estudios sobre las Culturas Contemporaneas,1405-2210,2017-04-20,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
"estudios sobre patrimonio, cultura y ciencias medievales",False,"Estudios sobre Patrimonio, Cultura y Ciencias Medievales",1575-3840,2020-10-09,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
estudos contemporâneos da subjetividade,False,Estudos Contemporâneos da Subjetividade,2237-941X,2017-01-23,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
estudos de psicologia (natal),False,Estudos de Psicologia (Natal),1678-4669,2022-05-04,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
ethiopian journal of science,False,Ethiopian Journal of Science,2220-184X,2016-12-19,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
ethnobiology and conservation,False,Ethnobiology and Conservation,2238-4782,2017-05-08,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
ethnologia actualis,False,Ethnologia Actualis,1339-7877,2022-04-14,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
etikonomi,False,Etikonomi,2461-0771,2022-03-07,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
etnoantropozum,False,EtnoAntropoZum,1409-939X,2016-12-30,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
etnolog,False,Etnolog,0354-0316,2017-02-02,1677-09-22,no OA statement no licence,DOAJ,,interesting reason
eurasian journal of business and management,False,Eurasian Journal of Business and Management,2148-0206,2019-07-09,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
eurasian journal of economics and finance,False,Eurasian Journal of Economics and Finance,2148-0192,2019-07-09,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
eurasian journal of social sciences,False,Eurasian Journal of Social Sciences,148-0214,2019-07-09,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
european academic research,False,European Academic Research,2286-4822,2016-09-05,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
european archives of medical research,False,European Archives of Medical Research,2651-3153,2021-04-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
european cells and materials,False,European Cells and Materials,1473-2262,2015-07-23,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
